post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
158755644.news-and-insights-10032025,2025-03-10T09:01:27.870Z,true,2025-03-10T09:01:27.999Z,2025-03-10T09:01:27.999Z,newsletter,only_paid,News & Insights: 10/03/2025,"ICYMI - Ravi Anand of PIMCO joins Wellington Management as Head of Private Real Estate, IPUT Real Estate announces a €230 million commitment for its sustainable Logistics Sub Fund, and PGIM are hiring",
158507000.people-moves-06032025,2025-03-06T11:46:51.550Z,true,2025-03-06T11:46:51.663Z,2025-03-06T11:46:51.663Z,newsletter,everyone,People Moves: 06/03/2025,"Balfour Beatty Plc appoints Phillip Hoare as CEO, Wellington Management appoints Ravi Anand; expands private investing capabilities with formation of a Private Real Estate Credit Platform",
158425691.people-moves-05032025,2025-03-05T16:01:48.895Z,true,2025-03-05T16:01:48.986Z,2025-03-05T16:01:48.986Z,newsletter,only_paid,People Moves: 05/03/2025,"Balfour Beatty appoints Phillip Hoare as new CEO, M7 Real Estate appoints Marina Breda, and Saudi Aramco exploring initial bid for BP's Castrol unit",
158365745.news-and-insights-04032025,2025-03-04T13:59:41.634Z,true,2025-03-04T13:59:41.712Z,2025-03-04T13:59:41.712Z,newsletter,only_paid,News & Insights: 04/03/2025,"ICYMI - Ivanhoé Cambridge hires Forrest as MD for European Real Estate, Eversheds Sutherland appoints Marc van Beuge as Energy Lead and Barings forward funds £152mm Residential Scheme in Leeds",
158292740.people-moves-03032025,2025-03-03T18:20:47.494Z,true,2025-03-03T18:20:47.594Z,2025-03-03T18:20:47.594Z,newsletter,only_paid,People Moves: 03/03/2025,Octopus Investments launches Real Estate Debt Fund IV with £750m fund raising target and Eversheds Sutherland boosts its energy offering with new partner appointment,
158090908.news-and-insights-28022025,2025-02-28T11:47:12.189Z,true,2025-02-28T11:47:12.267Z,2025-02-28T11:47:12.267Z,newsletter,only_paid,News & Insights: 28/02/2025,"Register for Fitch BMI's data center investment event, Colliers swoops honours at Scottish Property Awards 2025, and IPCC issues warning as US omits itself from key climate talks in China",
158025440.news-and-insights-27022025,2025-02-27T11:01:25.127Z,true,2025-02-27T11:01:25.224Z,2025-02-27T11:01:25.224Z,newsletter,only_paid,News & Insights: 27/02/2025,DBS and SMF partner to decarbonise Singapore's manufacturing sector,
157946305.people-moves-26022025,2025-02-26T08:25:21.216Z,true,2025-02-26T08:25:21.302Z,2025-02-26T08:25:21.302Z,newsletter,only_paid,People Moves: 26/02/2025,"ICYMI - Digital Realty announces appointment of Paula Cogan as Managing Director & EMEA Head, Colliers appoints Felix von Saucken as Germany CEO, TLT adds third Partner, and Andy Porter joins UT Bank",
157791073.news-and-insights-24022025,2025-02-24T08:17:37.433Z,true,2025-02-24T08:17:37.494Z,2025-02-24T08:17:37.494Z,newsletter,only_paid,News & Insights: 24/02/2025,"ICYMI - KPMG's Energy Investment Outlook for 2025, Cuba Unveils New Solar Park in Bold Move to Combat Blackouts, and Saipem and Subsea7 merge in EUR 20 billion super deal supported by Eni, CDP Equity",
157591467.people-moves-21022025,2025-02-21T02:18:50.260Z,true,2025-02-21T02:18:50.350Z,2025-02-21T02:18:50.350Z,newsletter,only_paid,People Moves: 21/02/2025,"ICYMI - Boldyn Networks appoints Sara Dickinson as Group CFO, and GB Energy interim CEO appointed",
157478893.news-and-insights-20022025,2025-02-20T01:16:36.396Z,true,2025-02-20T01:16:36.521Z,2025-02-20T01:16:36.521Z,newsletter,only_paid,News & Insights: 20/02/2025,"ICYMI - Bill Ackman says his plans for Howard Hughes won't impact how his portfolios invest, and HMC Capital announces its results for the six months to 31 December",
